usdaId,name,category,mealType,dietType,calories,protein,carbs,fat,fiber,sugar,sodium,servingSize,servingUnit,vegetarian,vegan,glutenFree,dairyFree,nutFree,soyFree
171780,"Beef, chuck, clod roast, separable lean only, trimmed to 1/4"" fat, all grades, cooked, roasted",PROTEIN,DINNER,NON_VEG,726.0,26.36,0.0,6.75,0.0,0.0,71.0,453.6,lb,False,False,True,True,True,True
174018,"Beef, chuck, clod roast, separable lean only, trimmed to 1/4"" fat, all grades, raw",PROTEIN,DINNER,NON_VEG,540.0,19.63,0.0,5.02,0.0,0.0,64.0,453.6,lb,False,False,True,True,True,True
171782,"Beef, chuck, clod steak, separable lean only, trimmed to 1/4"" fat, all grades, cooked, braised",PROTEIN,SNACK,NON_VEG,790.0,29.34,0.0,7.04,0.0,0.0,60.0,453.6,lb,False,False,True,True,True,True
170824,"Beef, chuck, mock tender steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, raw",PROTEIN,SNACK,NON_VEG,534.0,21.13,0.0,4.79,0.0,0.0,80.0,113.0,oz,False,False,True,True,True,True
170822,"Beef, chuck, mock tender steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, braised",PROTEIN,SNACK,NON_VEG,943.0,32.21,0.0,10.74,0.0,0.0,66.0,85.0,oz,False,False,True,True,True,True
171220,"Beef, chuck, mock tender steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",PROTEIN,SNACK,NON_VEG,550.0,21.19,0.0,5.18,0.0,0.0,82.0,204.0,steak,False,False,True,True,True,True
170823,"Beef, chuck, mock tender steak, boneless, separable lean and fat, trimmed to 0"" fat, select, cooked, braised",PROTEIN,SNACK,NON_VEG,885.0,31.86,0.0,9.34,0.0,0.0,69.0,141.0,steak,False,False,True,True,True,True
171221,"Beef, chuck, mock tender steak, boneless, separable lean and fat, trimmed to 0"" fat, select, raw",PROTEIN,SNACK,NON_VEG,510.0,21.05,0.0,4.2,0.0,0.0,76.0,191.0,steak,False,False,True,True,True,True
171202,"Beef, chuck, mock tender steak, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",PROTEIN,SNACK,NON_VEG,514.0,21.3,0.0,4.17,0.0,0.0,81.0,113.0,oz,False,False,True,True,True,True
171201,"Beef, chuck, mock tender steak, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, braised",PROTEIN,SNACK,NON_VEG,823.0,33.55,0.0,6.94,0.0,0.0,67.0,141.0,steak,False,False,True,True,True,True
170807,"Beef, chuck, mock tender steak, boneless, separable lean only, trimmed to 0"" fat, choice, raw",PROTEIN,SNACK,NON_VEG,531.0,21.36,0.0,4.6,0.0,0.0,83.0,204.0,steak,False,False,True,True,True,True
